"Time (s)","Illuminance (lx)"
5.755893365E0,4.132000000E3
5.775821344E0,4.127000000E3
5.795749322E0,4.131000000E3
5.815768853E0,4.148000000E3
5.835696832E0,4.159000000E3
5.875644342E0,4.144000000E3
5.915652887E0,4.130000000E3
5.935611383E0,4.124000000E3
5.955569879E0,4.068000000E3
5.975558892E0,3.976000000E3
5.995486871E0,3.841000000E3
6.015445367E0,3.699000000E3
6.035403863E0,3.568000000E3
6.055392877E0,3.478000000E3
6.075320855E0,3.434000000E3
6.095279351E0,3.413000000E3
6.155185357E0,3.440000000E3
6.175174371E0,3.459000000E3
6.195132867E0,3.478000000E3
6.215091363E0,3.490000000E3
6.235080377E0,3.511000000E3
6.274966851E0,3.505000000E3
6.294925348E0,3.465000000E3
6.314914361E0,3.366000000E3
6.334842340E0,3.266000000E3
6.354800836E0,3.155000000E3
6.374759332E0,3.057000000E3
6.394748346E0,3.032000000E3
6.434634820E0,3.036000000E3
6.454593316E0,3.062000000E3
6.474582330E0,3.110000000E3
6.494510308E0,3.188000000E3
6.514468805E0,3.291000000E3
6.534427301E0,3.357000000E3
6.554416314E0,3.386000000E3
6.574344293E0,3.437000000E3
6.594272271E0,3.470000000E3
6.614291803E0,3.509000000E3
6.634280816E0,3.547000000E3
6.654239312E0,3.557000000E3
6.674136773E0,3.593000000E3
6.694125787E0,3.650000000E3
6.714114801E0,3.710000000E3
6.734073297E0,3.759000000E3
6.754031793E0,3.790000000E3
6.774020806E0,3.804000000E3
6.793948785E0,3.817000000E3
6.813907281E0,3.814000000E3
6.833865777E0,3.800000000E3
6.853824273E0,3.768000000E3
6.873782769E0,3.740000000E3
6.893710748E0,3.723000000E3
6.913638726E0,3.686000000E3
6.933658258E0,3.682000000E3
6.953586236E0,3.668000000E3
6.973544732E0,3.678000000E3
6.993472711E0,3.677000000E3
7.013461724E0,3.685000000E3
7.033420221E0,3.674000000E3
7.053378717E0,3.659000000E3
7.073337213E0,3.649000000E3
7.113254205E0,3.664000000E3
7.133243219E0,3.649000000E3
7.153140680E0,3.640000000E3
7.173160211E0,3.611000000E3
7.193118707E0,3.626000000E3
7.213077203E0,3.612000000E3
7.233035699E0,3.592000000E3
7.252994195E0,3.556000000E3
7.272983209E0,3.510000000E3
