"Time (s)","Illuminance (lx)"
8.182325409E0,3.811000000E3
8.202314423E0,3.805000000E3
8.222303437E0,3.800000000E3
8.242322968E0,3.813000000E3
8.262220429E0,3.800000000E3
8.282178925E0,3.815000000E3
8.302167939E0,3.800000000E3
8.322187470E0,3.807000000E3
8.342084931E0,3.801000000E3
8.362043427E0,3.809000000E3
8.382001923E0,3.806000000E3
8.402021454E0,3.799000000E3
8.421918915E0,3.807000000E3
8.441907929E0,3.805000000E3
8.461866425E0,3.809000000E3
8.501783417E0,3.816000000E3
8.521741913E0,3.814000000E3
8.541700409E0,3.823000000E3
8.561719941E0,3.821000000E3
8.581617402E0,3.828000000E3
8.621534394E0,3.824000000E3
8.641553925E0,3.813000000E3
8.661481904E0,3.800000000E3
8.701398896E0,3.792000000E3
8.721418427E0,3.753000000E3
8.741346405E0,3.665000000E3
8.761304902E0,3.561000000E3
8.781263398E0,3.392000000E3
8.801313446E0,3.230000000E3
8.821210907E0,3.169000000E3
8.841169404E0,3.162000000E3
8.901105927E0,3.177000000E3
8.921094941E0,3.200000000E3
8.961134003E0,3.223000000E3
8.981031464E0,3.260000000E3
9.000989960E0,3.261000000E3
